date,datetime,SACTMIN,SPOSTMIN
05/23/2018,2018-05-23 21:56:06,,-999
05/23/2018,2018-05-23 22:00:13,,-999
05/23/2018,2018-05-23 22:07:06,,-999
05/23/2018,2018-05-23 22:14:06,,-999
05/23/2018,2018-05-23 22:21:07,,-999
05/23/2018,2018-05-23 22:27:06,,-999
05/23/2018,2018-05-23 22:35:06,,-999
05/23/2018,2018-05-23 22:42:07,,-999
05/23/2018,2018-05-23 22:49:07,,-999
05/23/2018,2018-05-23 22:56:06,,-999
05/23/2018,2018-05-23 23:00:11,,-999
05/23/2018,2018-05-23 23:07:07,,-999
05/23/2018,2018-05-23 23:14:06,,-999
05/23/2018,2018-05-23 23:21:07,,-999
05/23/2018,2018-05-23 23:27:06,,-999
05/23/2018,2018-05-23 23:35:07,,-999
05/23/2018,2018-05-23 23:42:07,,-999
05/23/2018,2018-05-23 23:49:06,,-999
05/23/2018,2018-05-23 23:56:06,,-999
05/23/2018,2018-05-24 00:00:15,,-999
05/23/2018,2018-05-24 00:07:06,,-999
05/24/2018,2018-05-24 08:56:06,,-999
05/24/2018,2018-05-24 09:00:11,,-999
05/24/2018,2018-05-24 09:07:07,,-999
05/24/2018,2018-05-24 22:07:07,,-999
05/24/2018,2018-05-24 22:14:07,,-999
05/24/2018,2018-05-24 22:21:07,,-999
05/24/2018,2018-05-24 22:27:07,,-999
05/24/2018,2018-05-24 22:35:06,,-999
05/24/2018,2018-05-24 22:42:06,,-999
05/24/2018,2018-05-24 22:49:08,,-999
05/24/2018,2018-05-24 22:56:06,,-999
05/24/2018,2018-05-24 23:00:11,,-999
05/24/2018,2018-05-24 23:07:06,,-999
05/25/2018,2018-05-25 07:56:08,,-999
05/25/2018,2018-05-25 08:00:17,,-999
05/25/2018,2018-05-25 08:07:07,,-999
05/25/2018,2018-05-25 08:14:07,,-999
05/25/2018,2018-05-25 08:21:09,,-999
05/25/2018,2018-05-25 08:27:07,,-999
05/25/2018,2018-05-25 08:35:06,,-999
05/25/2018,2018-05-25 08:42:07,,-999
05/25/2018,2018-05-25 08:49:07,,-999
05/25/2018,2018-05-25 08:56:07,,-999
05/25/2018,2018-05-25 09:00:11,,-999
05/25/2018,2018-05-25 09:07:07,,-999
05/25/2018,2018-05-25 22:07:06,,-999
05/25/2018,2018-05-25 22:14:06,,-999
05/25/2018,2018-05-25 22:21:07,,-999
05/25/2018,2018-05-25 22:27:07,,-999
05/25/2018,2018-05-25 22:35:07,,-999
05/25/2018,2018-05-25 22:42:08,,-999
05/25/2018,2018-05-25 22:49:07,,-999
05/25/2018,2018-05-25 22:56:07,,-999
05/25/2018,2018-05-25 23:00:11,,-999
05/25/2018,2018-05-25 23:07:06,,-999
05/26/2018,2018-05-26 07:56:06,,-999
05/26/2018,2018-05-26 08:00:18,,-999
05/26/2018,2018-05-26 08:07:06,,-999
05/26/2018,2018-05-26 23:07:06,,-999
05/26/2018,2018-05-26 23:14:06,,-999
05/26/2018,2018-05-26 23:21:07,,-999
05/26/2018,2018-05-26 23:27:08,,-999
05/26/2018,2018-05-26 23:35:07,,-999
05/26/2018,2018-05-26 23:42:08,,-999
05/26/2018,2018-05-26 23:49:06,,-999
05/26/2018,2018-05-26 23:56:06,,-999
05/26/2018,2018-05-27 00:00:14,,-999
05/26/2018,2018-05-27 00:07:06,,-999
05/27/2018,2018-05-27 07:56:07,,-999
05/27/2018,2018-05-27 08:00:21,,-999
05/27/2018,2018-05-27 08:07:07,,-999
05/27/2018,2018-05-27 23:07:06,,-999
05/27/2018,2018-05-27 23:14:06,,-999
05/27/2018,2018-05-27 23:21:06,,-999
05/27/2018,2018-05-27 23:27:07,,-999
05/27/2018,2018-05-27 23:35:06,,-999
05/27/2018,2018-05-27 23:42:06,,-999
05/27/2018,2018-05-27 23:49:06,,-999
05/27/2018,2018-05-27 23:56:06,,-999
05/27/2018,2018-05-28 00:00:15,,-999
05/27/2018,2018-05-28 00:07:06,,-999
05/28/2018,2018-05-28 08:56:06,,-999
05/28/2018,2018-05-28 09:00:11,,-999
05/28/2018,2018-05-28 09:07:06,,-999
05/28/2018,2018-05-28 22:07:06,,-999
05/28/2018,2018-05-28 22:14:06,,-999
05/28/2018,2018-05-28 22:21:08,,-999
05/28/2018,2018-05-28 22:27:07,,-999
05/28/2018,2018-05-28 22:35:06,,-999
05/28/2018,2018-05-28 22:42:06,,-999
05/28/2018,2018-05-28 22:49:06,,-999
05/28/2018,2018-05-28 22:56:06,,-999
05/28/2018,2018-05-28 23:00:11,,-999
05/28/2018,2018-05-28 23:07:06,,-999
05/29/2018,2018-05-29 07:56:07,,-999
05/29/2018,2018-05-29 08:00:18,,-999
05/29/2018,2018-05-29 08:07:07,,-999
05/29/2018,2018-05-29 22:07:06,,-999
05/29/2018,2018-05-29 22:14:07,,-999
05/29/2018,2018-05-29 22:21:07,,-999
05/29/2018,2018-05-29 22:27:08,,-999
05/29/2018,2018-05-29 22:35:07,,-999
05/29/2018,2018-05-29 22:42:06,,-999
05/29/2018,2018-05-29 22:49:07,,-999
05/29/2018,2018-05-29 22:56:06,,-999
05/29/2018,2018-05-29 23:00:13,,-999
05/29/2018,2018-05-29 23:07:07,,-999
05/30/2018,2018-05-30 07:56:06,,-999
05/30/2018,2018-05-30 08:00:15,,-999
05/30/2018,2018-05-30 08:07:07,,-999
05/30/2018,2018-05-30 22:07:06,,-999
05/30/2018,2018-05-30 22:14:07,,-999
05/30/2018,2018-05-30 22:21:07,,-999
05/30/2018,2018-05-30 22:27:06,,-999
05/30/2018,2018-05-30 22:35:07,,-999
05/30/2018,2018-05-30 22:42:06,,-999
05/30/2018,2018-05-30 22:49:07,,-999
05/30/2018,2018-05-30 22:56:07,,-999
05/30/2018,2018-05-30 23:00:11,,-999
05/30/2018,2018-05-30 23:07:06,,-999
05/30/2018,2018-05-30 23:14:06,,-999
