Ride,Date/Time,Wait Time
Alice in Wonderland,2020-02-03 12:25:04,30
Alice in Wonderland,2020-02-03 12:30:05,30
Alice in Wonderland,2020-02-03 12:35:05,30
Alice in Wonderland,2020-02-03 12:40:05,30
Alice in Wonderland,2020-02-03 12:45:04,30
Alice in Wonderland,2020-02-03 12:50:07,30
Alice in Wonderland,2020-02-03 12:55:04,30
Alice in Wonderland,2020-02-03 13:30:05,20
Alice in Wonderland,2020-02-03 13:35:03,20
Alice in Wonderland,2020-02-03 13:40:06,20
Alice in Wonderland,2020-02-03 13:45:04,20
Alice in Wonderland,2020-02-03 13:50:05,30
Alice in Wonderland,2020-02-03 13:55:06,30
Alice in Wonderland,2020-02-03 14:00:05,30
Alice in Wonderland,2020-02-03 14:05:05,30
Alice in Wonderland,2020-02-03 14:10:07,30
Alice in Wonderland,2020-02-03 14:15:04,30
Alice in Wonderland,2020-02-03 14:20:04,30
Alice in Wonderland,2020-02-03 14:25:04,30
Alice in Wonderland,2020-02-03 14:30:04,30
Alice in Wonderland,2020-02-03 14:35:05,30
Alice in Wonderland,2020-02-03 14:40:04,30
Alice in Wonderland,2020-02-03 14:45:05,25
Alice in Wonderland,2020-02-03 14:50:05,25
Alice in Wonderland,2020-02-03 14:55:04,25
Alice in Wonderland,2020-02-03 15:00:05,25
Alice in Wonderland,2020-02-03 15:05:03,25
Alice in Wonderland,2020-02-03 15:10:06,25
Alice in Wonderland,2020-02-03 15:15:05,25
Alice in Wonderland,2020-02-03 15:20:07,25
Alice in Wonderland,2020-02-03 15:25:04,25
Alice in Wonderland,2020-02-03 15:30:05,25
Alice in Wonderland,2020-02-03 15:35:04,25
Alice in Wonderland,2020-02-03 15:40:04,25
Alice in Wonderland,2020-02-03 15:45:06,25
Alice in Wonderland,2020-02-03 15:50:04,40
Alice in Wonderland,2020-02-03 15:55:06,40
Alice in Wonderland,2020-02-03 16:00:05,40
Alice in Wonderland,2020-02-03 16:05:05,40
Alice in Wonderland,2020-02-03 16:10:03,40
Alice in Wonderland,2020-02-03 16:15:05,40
Alice in Wonderland,2020-02-03 16:20:04,40
Alice in Wonderland,2020-02-03 16:25:04,40
Alice in Wonderland,2020-02-03 16:30:06,40
Alice in Wonderland,2020-02-03 16:35:06,20
Alice in Wonderland,2020-02-03 16:40:04,20
Alice in Wonderland,2020-02-03 16:45:07,20
Alice in Wonderland,2020-02-03 16:50:05,20
Alice in Wonderland,2020-02-03 16:55:04,20
Alice in Wonderland,2020-02-03 17:00:06,20
Alice in Wonderland,2020-02-03 17:05:04,20
Alice in Wonderland,2020-02-03 17:10:06,20
Alice in Wonderland,2020-02-03 17:15:03,20
Alice in Wonderland,2020-02-03 17:20:06,20
Alice in Wonderland,2020-02-03 17:25:04,25
Alice in Wonderland,2020-02-03 17:30:05,25
Alice in Wonderland,2020-02-03 17:35:04,25
Alice in Wonderland,2020-02-03 17:40:04,25
Alice in Wonderland,2020-02-03 17:45:06,25
Alice in Wonderland,2020-02-03 17:50:04,25
Alice in Wonderland,2020-02-03 17:55:04,25
Alice in Wonderland,2020-02-03 18:00:05,25
