Park,Date/Time,Wait Time
EPCOT,2020-02-04 10:50:00,34
EPCOT,2020-02-04 10:55:00,35
EPCOT,2020-02-04 11:00:00,38
EPCOT,2020-02-04 11:05:00,42
EPCOT,2020-02-04 11:10:00,44
EPCOT,2020-02-04 11:15:00,45
EPCOT,2020-02-04 11:20:00,46
EPCOT,2020-02-04 11:25:00,44
EPCOT,2020-02-04 11:30:00,44
EPCOT,2020-02-04 11:35:00,45
EPCOT,2020-02-04 11:40:00,45
EPCOT,2020-02-04 11:45:00,42
EPCOT,2020-02-04 11:50:00,39
EPCOT,2020-02-04 11:55:00,39
EPCOT,2020-02-04 12:00:00,38
EPCOT,2020-02-04 12:05:00,37
EPCOT,2020-02-04 12:10:00,37
EPCOT,2020-02-04 12:15:00,36
EPCOT,2020-02-04 12:20:00,30
EPCOT,2020-02-04 12:25:00,29
EPCOT,2020-02-04 12:30:00,28
EPCOT,2020-02-04 12:35:00,28
EPCOT,2020-02-04 12:40:00,29
EPCOT,2020-02-04 12:50:00,29
EPCOT,2020-02-04 12:55:00,31
EPCOT,2020-02-04 13:00:00,31
EPCOT,2020-02-04 13:05:00,31
EPCOT,2020-02-04 13:10:00,31
EPCOT,2020-02-04 13:15:00,33
EPCOT,2020-02-04 13:20:00,28
EPCOT,2020-02-04 13:25:00,34
EPCOT,2020-02-04 13:30:00,32
EPCOT,2020-02-04 13:35:00,32
EPCOT,2020-02-04 13:40:00,35
EPCOT,2020-02-04 13:45:00,35
EPCOT,2020-02-04 13:50:00,33
EPCOT,2020-02-04 13:55:00,33
EPCOT,2020-02-04 14:00:00,27
EPCOT,2020-02-04 14:05:00,32
EPCOT,2020-02-04 14:10:00,30
EPCOT,2020-02-04 14:15:00,28
EPCOT,2020-02-04 14:20:00,31
EPCOT,2020-02-04 14:25:00,27
EPCOT,2020-02-04 14:30:00,29
EPCOT,2020-02-04 14:35:00,31
EPCOT,2020-02-04 14:40:00,30
EPCOT,2020-02-04 14:45:00,30
