date,datetime,SACTMIN,SPOSTMIN
01/18/2015,2015-01-18 10:10:06,,10
01/18/2015,2015-01-18 10:15:05,,15
01/18/2015,2015-01-18 10:20:06,,15
01/18/2015,2015-01-18 10:25:05,,15
01/18/2015,2015-01-18 10:30:06,,15
01/18/2015,2015-01-18 10:35:05,,15
01/18/2015,2015-01-18 10:40:05,,20
01/18/2015,2015-01-18 10:45:05,,25
01/18/2015,2015-01-18 10:50:06,,20
01/18/2015,2015-01-18 10:55:05,,20
01/18/2015,2015-01-18 10:55:38,,20
01/18/2015,2015-01-18 11:00:06,,25
01/18/2015,2015-01-18 11:05:05,,25
01/18/2015,2015-01-18 11:10:05,,25
01/18/2015,2015-01-18 11:15:06,,25
01/18/2015,2015-01-18 11:20:05,,25
01/18/2015,2015-01-18 11:21:17,31,
01/18/2015,2015-01-18 11:25:04,,25
01/18/2015,2015-01-18 11:30:05,,25
01/18/2015,2015-01-18 11:35:05,,35
01/18/2015,2015-01-18 11:40:06,,30
01/18/2015,2015-01-18 11:45:05,,30
01/18/2015,2015-01-18 11:50:06,,30
01/18/2015,2015-01-18 11:55:05,,30
01/18/2015,2015-01-18 12:00:06,,30
01/18/2015,2015-01-18 12:05:05,,30
01/18/2015,2015-01-18 12:10:06,,35
01/18/2015,2015-01-18 12:15:05,,35
01/18/2015,2015-01-18 12:20:05,,35
01/18/2015,2015-01-18 12:25:05,,35
01/18/2015,2015-01-18 12:30:05,,35
01/18/2015,2015-01-18 12:35:05,,40
01/18/2015,2015-01-18 12:40:05,,30
01/18/2015,2015-01-18 12:45:05,,30
01/18/2015,2015-01-18 12:50:06,,30
01/18/2015,2015-01-18 12:55:05,,30
01/18/2015,2015-01-18 13:00:06,,30
01/18/2015,2015-01-18 13:05:05,,25
01/18/2015,2015-01-18 13:10:05,,25
01/18/2015,2015-01-18 13:15:05,,25
01/18/2015,2015-01-18 13:20:06,,35
01/18/2015,2015-01-18 13:25:05,,35
01/18/2015,2015-01-18 13:30:05,,35
01/18/2015,2015-01-18 13:35:05,,40
01/18/2015,2015-01-18 13:40:06,,40
01/18/2015,2015-01-18 13:45:05,,40
01/18/2015,2015-01-18 13:50:05,,40
01/18/2015,2015-01-18 13:55:08,,40
01/18/2015,2015-01-18 14:00:06,,40
01/18/2015,2015-01-18 14:05:04,,40
01/18/2015,2015-01-18 14:10:05,,40
01/18/2015,2015-01-18 14:15:06,,45
01/18/2015,2015-01-18 14:20:05,,35
01/18/2015,2015-01-18 14:25:05,,35
01/18/2015,2015-01-18 14:30:06,,35
01/18/2015,2015-01-18 14:35:05,,35
01/18/2015,2015-01-18 14:40:09,,35
01/18/2015,2015-01-18 14:45:06,,35
01/18/2015,2015-01-18 14:50:05,,35
01/18/2015,2015-01-18 14:55:05,,30
01/18/2015,2015-01-18 15:00:06,,20
01/18/2015,2015-01-18 15:05:05,,25
01/18/2015,2015-01-18 15:10:06,,25
01/18/2015,2015-01-18 15:15:05,,20
01/18/2015,2015-01-18 15:20:05,,25
01/18/2015,2015-01-18 15:25:05,,20
01/18/2015,2015-01-18 15:30:06,,20
01/18/2015,2015-01-18 15:35:05,,20
01/18/2015,2015-01-18 15:40:06,,30
01/18/2015,2015-01-18 15:45:05,,30
01/18/2015,2015-01-18 15:50:05,,30
01/18/2015,2015-01-18 15:55:05,,30
01/18/2015,2015-01-18 16:00:06,,30
01/18/2015,2015-01-18 16:05:05,,30
01/18/2015,2015-01-18 16:10:05,,35
01/18/2015,2015-01-18 16:15:05,,35
01/18/2015,2015-01-18 16:20:05,,35
01/18/2015,2015-01-18 16:25:05,,35
01/18/2015,2015-01-18 16:34:00,,35
01/18/2015,2015-01-18 16:35:05,,35
01/18/2015,2015-01-18 16:40:05,,35
01/18/2015,2015-01-18 16:45:06,,35
01/18/2015,2015-01-18 16:50:06,,30
01/18/2015,2015-01-18 16:55:06,,30
01/18/2015,2015-01-18 17:00:05,,30
01/18/2015,2015-01-18 17:05:05,,30
01/18/2015,2015-01-18 17:10:05,,30
01/18/2015,2015-01-18 17:15:07,,30
01/18/2015,2015-01-18 17:20:05,,30
01/18/2015,2015-01-18 17:25:05,,30
01/18/2015,2015-01-18 17:30:05,,30
01/18/2015,2015-01-18 17:35:05,,30
01/18/2015,2015-01-18 17:40:06,,30
01/18/2015,2015-01-18 17:45:05,,30
01/18/2015,2015-01-18 17:50:06,,30
01/18/2015,2015-01-18 17:55:05,,30
01/18/2015,2015-01-18 18:00:06,,35
01/18/2015,2015-01-18 18:01:34,0,
01/18/2015,2015-01-18 18:05:05,,20
01/18/2015,2015-01-18 18:10:05,,30
01/18/2015,2015-01-18 18:15:06,,30
01/18/2015,2015-01-18 18:20:05,,25
01/18/2015,2015-01-18 18:23:45,31,
01/18/2015,2015-01-18 18:25:05,,25
01/18/2015,2015-01-18 18:30:05,,25
01/18/2015,2015-01-18 18:35:05,,25
01/18/2015,2015-01-18 18:40:06,,25
01/18/2015,2015-01-18 18:45:05,,30
01/18/2015,2015-01-18 18:50:05,,20
01/18/2015,2015-01-18 18:55:06,,25
01/18/2015,2015-01-18 19:00:06,,25
01/18/2015,2015-01-18 19:05:06,,25
01/18/2015,2015-01-18 19:10:06,,25
01/18/2015,2015-01-18 19:15:05,,20
01/18/2015,2015-01-18 19:20:05,,25
01/18/2015,2015-01-18 19:25:05,,20
01/18/2015,2015-01-18 19:30:05,,20
01/18/2015,2015-01-18 19:35:05,,25
01/18/2015,2015-01-18 19:40:05,,25
01/18/2015,2015-01-18 19:45:05,,20
01/18/2015,2015-01-18 19:50:05,,25
01/18/2015,2015-01-18 19:55:06,,25
01/18/2015,2015-01-18 20:00:06,,20
01/18/2015,2015-01-18 20:05:05,,20
01/18/2015,2015-01-18 20:10:05,,15
01/18/2015,2015-01-18 20:15:05,,15
01/18/2015,2015-01-18 20:20:05,,15
01/18/2015,2015-01-18 20:25:05,,15
01/18/2015,2015-01-18 20:30:06,,15
01/18/2015,2015-01-18 20:35:05,,15
01/18/2015,2015-01-18 20:40:06,,15
01/18/2015,2015-01-18 20:45:05,,25
01/18/2015,2015-01-18 20:48:13,,15
01/18/2015,2015-01-18 20:50:05,,15
01/18/2015,2015-01-18 20:55:05,,15
01/18/2015,2015-01-18 21:00:06,,15
01/18/2015,2015-01-18 21:05:05,,15
01/18/2015,2015-01-18 21:10:06,,15
01/18/2015,2015-01-18 21:15:05,,15
01/18/2015,2015-01-18 21:20:05,,10
01/18/2015,2015-01-18 21:25:05,,10
01/18/2015,2015-01-18 21:30:05,,10
01/18/2015,2015-01-18 21:35:06,,10
01/18/2015,2015-01-18 21:40:05,,10
01/18/2015,2015-01-18 21:45:05,,10
01/18/2015,2015-01-18 21:50:05,,10
01/18/2015,2015-01-18 21:55:04,,10
01/18/2015,2015-01-18 22:00:06,,10
01/18/2015,2015-01-18 22:05:05,,10
01/18/2015,2015-01-18 22:10:06,,10
01/18/2015,2015-01-18 22:15:05,,10
01/18/2015,2015-01-18 22:20:05,,10
01/18/2015,2015-01-18 22:25:05,,10
01/18/2015,2015-01-18 22:30:05,,10
01/18/2015,2015-01-18 22:35:05,,10
01/18/2015,2015-01-18 22:40:05,,10
01/18/2015,2015-01-18 22:45:05,,10
01/18/2015,2015-01-18 22:50:05,,10
01/18/2015,2015-01-18 22:55:05,,10
01/18/2015,2015-01-18 23:00:05,,10
01/18/2015,2015-01-18 23:05:06,,10
01/18/2015,2015-01-18 23:10:06,,10
01/18/2015,2015-01-18 23:15:06,,10
01/18/2015,2015-01-18 23:20:05,,10
01/18/2015,2015-01-18 23:25:05,,10
01/18/2015,2015-01-18 23:30:06,,10
01/18/2015,2015-01-18 23:35:05,,10
01/18/2015,2015-01-18 23:40:05,,10
01/18/2015,2015-01-18 23:45:05,,10
01/18/2015,2015-01-18 23:50:05,,10
01/18/2015,2015-01-18 23:55:06,,10
01/18/2015,2015-01-19 00:00:06,,10
01/18/2015,2015-01-19 00:05:05,,10
01/18/2015,2015-01-19 00:10:06,,5
01/18/2015,2015-01-19 00:15:05,,5
01/18/2015,2015-01-19 00:20:05,,5
01/18/2015,2015-01-19 00:25:06,,5
01/18/2015,2015-01-19 00:30:05,,5
01/18/2015,2015-01-19 00:35:05,,5
01/18/2015,2015-01-19 00:40:05,,5
01/18/2015,2015-01-19 00:45:06,,10
01/18/2015,2015-01-19 00:50:05,,5
01/18/2015,2015-01-19 00:55:05,,5
01/18/2015,2015-01-19 01:00:07,,5
01/19/2015,2015-01-19 08:45:04,,5
01/19/2015,2015-01-19 08:50:05,,5
01/19/2015,2015-01-19 08:55:05,,5
01/19/2015,2015-01-19 09:00:06,,10
01/19/2015,2015-01-19 09:05:05,,10
01/19/2015,2015-01-19 09:10:05,,10
01/19/2015,2015-01-19 09:15:05,,10
01/19/2015,2015-01-19 09:20:05,,10
01/19/2015,2015-01-19 09:25:05,,10
01/19/2015,2015-01-19 09:30:06,,10
01/19/2015,2015-01-19 09:35:05,,10
01/19/2015,2015-01-19 09:40:06,,10
01/19/2015,2015-01-19 09:45:05,,10
01/19/2015,2015-01-19 09:46:22,,10
01/19/2015,2015-01-19 09:46:56,4,
01/19/2015,2015-01-19 09:50:05,,10
01/19/2015,2015-01-19 09:55:05,,10
01/19/2015,2015-01-19 10:00:05,,10
01/19/2015,2015-01-19 10:05:08,,10
01/19/2015,2015-01-19 10:09:03,,15
01/19/2015,2015-01-19 10:10:05,,15
01/19/2015,2015-01-19 10:15:05,,10
01/19/2015,2015-01-19 10:20:06,,15
01/19/2015,2015-01-19 10:25:05,,10
01/19/2015,2015-01-19 10:30:05,,10
01/19/2015,2015-01-19 10:35:05,,10
01/19/2015,2015-01-19 10:40:06,,15
01/19/2015,2015-01-19 10:45:05,,15
01/19/2015,2015-01-19 10:50:05,,20
01/19/2015,2015-01-19 10:55:05,,20
01/19/2015,2015-01-19 11:00:06,,20
01/19/2015,2015-01-19 11:05:06,,25
01/19/2015,2015-01-19 11:10:06,,25
01/19/2015,2015-01-19 11:15:05,,25
01/19/2015,2015-01-19 11:20:05,,25
01/19/2015,2015-01-19 11:30:06,,25
01/19/2015,2015-01-19 11:40:05,,30
01/19/2015,2015-01-19 11:45:05,,25
01/19/2015,2015-01-19 11:55:05,,30
01/19/2015,2015-01-19 12:00:07,,35
01/19/2015,2015-01-19 12:05:05,,25
01/19/2015,2015-01-19 12:10:05,,30
01/19/2015,2015-01-19 12:15:05,,30
01/19/2015,2015-01-19 12:20:05,,35
01/19/2015,2015-01-19 12:25:05,,30
01/19/2015,2015-01-19 12:30:06,,35
01/19/2015,2015-01-19 12:35:06,,35
01/19/2015,2015-01-19 12:40:06,,35
01/19/2015,2015-01-19 12:45:05,,35
01/19/2015,2015-01-19 12:50:06,,35
01/19/2015,2015-01-19 12:55:05,,40
01/19/2015,2015-01-19 13:00:06,,35
01/19/2015,2015-01-19 13:05:05,,35
01/19/2015,2015-01-19 13:10:06,,35
01/19/2015,2015-01-19 13:15:05,,35
01/19/2015,2015-01-19 13:20:09,,40
01/19/2015,2015-01-19 13:40:36,,30
01/19/2015,2015-01-19 14:05:05,,35
01/19/2015,2015-01-19 14:20:05,,40
01/19/2015,2015-01-19 14:25:05,,40
01/19/2015,2015-01-19 14:30:06,,40
01/19/2015,2015-01-19 14:35:06,,40
01/19/2015,2015-01-19 14:40:05,,40
01/19/2015,2015-01-19 14:50:05,,40
01/19/2015,2015-01-19 14:55:05,,40
01/19/2015,2015-01-19 15:00:06,,30
01/19/2015,2015-01-19 15:05:06,,30
01/19/2015,2015-01-19 15:10:06,,30
01/19/2015,2015-01-19 15:15:24,,25
01/19/2015,2015-01-19 15:20:05,,25
01/19/2015,2015-01-19 15:25:05,,25
01/19/2015,2015-01-19 15:30:06,,25
